alpha;power;hr;surv_3y;e;n
0,49;0,51;0,99;0,6;9,95473434766498e+01;1,35189681376661e+02
0,01;0,80;0,99;0,6;3,97430064690945e+05;5,39727550114658e+05
0,05;0,80;0,99;0,6;2,44831327229985e+05;3,32491736728368e+05
0,10;0,80;0,99;0,6;1,78512866915858e+05;2,42428343712153e+05
0,20;0,80;0,99;0,6;1,12199830477143e+05;1,52372316557883e+05
0,49;0,80;0,99;0,6;2,97458617398151e+04;4,03961917057391e+04
0,01;0,90;0,99;0,6;5,15475098257514e+05;7,00037910176702e+05
0,05;0,90;0,99;0,6;3,39131209687818e+05;4,60555134686559e+05
0,10;0,90;0,99;0,6;2,60154297181224e+05;3,53301005495426e+05
0,20;0,90;0,99;0,6;1,78512866915858e+05;2,42428343712153e+05
0,49;0,90;0,99;0,6;6,76079487602681e+04;9,18145751782331e+04
0,01;0,99;0,99;0,6;8,57251293701804e+05;1,16418505213513e+06
0,05;0,99;0,99;0,6;6,24514734701987e+05;8,48118543908661e+05
0,10;0,99;0,99;0,6;5,15475098257514e+05;7,00037910176702e+05
0,20;0,99;0,99;0,6;3,97430064690945e+05;5,39727550114658e+05
0,49;0,99;0,99;0,6;2,18956614053887e+05;2,97352735446935e+05
0,01;0,51;0,10;0,9;4,17145766958624e+00;6,66685080996168e+00
0,05;0,51;0,10;0,9;2,10388145188342e+00;3,36243703581524e+00
0,10;0,51;0,10;0,9;1,28803460721952e+00;2,05854529629013e+00
0,20;0,51;0,10;0,9;NA;NA
0,49;0,51;0,10;0,9;NA;NA
0,01;0,80;0,10;0,9;7,57164929062700e+00;1,21010591990423e+01
0,05;0,80;0,10;0,9;4,66441044561070e+00;7,45469114646388e+00
0,10;0,80;0,10;0,9;3,40094256130905e+00;5,43540854670721e+00
0,20;0,80;0,10;0,9;2,13757801011195e+00;3,41629109459107e+00
0,49;0,80;0,10;0,9;NA;NA
0,01;0,90;0,10;0,9;9,82058734054880e+00;1,56953266343780e+01
0,05;0,90;0,10;0,9;6,46096712703161e+00;1,03259597329820e+01
0,10;0,90;0,10;0,9;4,95633640911782e+00;7,92124912221564e+00
0,20;0,90;0,10;0,9;3,40094256130905e+00;5,43540854670721e+00
0,49;0,90;0,10;0,9;1,28803460721952e+00;2,05854529629013e+00
0,01;0,99;0,10;0,9;1,63319454830218e+01;2,61018216163593e+01
0,05;0,99;0,10;0,9;1,18979588312463e+01;1,90153952776063e+01
0,10;0,99;0,10;0,9;9,82058734054880e+00;1,56953266343780e+01
0,20;0,99;0,10;0,9;7,57164929062700e+00;1,21010591990423e+01
0,49;0,99;0,10;0,9;4,17145766958624e+00;6,66685080996168e+00
0,01;0,51;0,50;0,9;4,60328958204544e+01;5,19236188112547e+01
0,05;0,51;0,50;0,9;2,32167657841154e+01;2,61877614935738e+01
0,10;0,51;0,50;0,9;1,42137275704771e+01;1,60326253454717e+01
0,20;0,51;0,50;0,9;6,25369624240516e+00;7,05396725677502e+00
0,49;0,51;0,50;0,9;NA;NA
0,01;0,80;0,50;0,9;8,35547117080111e+01;9,42470145161556e+01
0,05;0,80;0,50;0,9;5,14727313840714e+01;5,80595775244070e+01
0,10;0,80;0,50;0,9;3,75301026683120e+01;4,23327429257837e+01
0,20;0,80;0,50;0,9;2,35886142546755e+01;2,66071945511033e+01
0,49;0,80;0,50;0,9;6,25369624240516e+00;7,05396725677502e+00
0,01;0,90;0,50;0,9;1,08372206971957e+02;1,22240347131191e+02
0,05;0,90;0,50;0,9;7,12981049349896e+01;8,04219581807027e+01
0,10;0,90;0,50;0,9;5,46941946062409e+01;6,16932839289492e+01
0,20;0,90;0,50;0,9;3,75301026683120e+01;4,23327429257837e+01
0,49;0,90;0,50;0,9;1,42137275704771e+01;1,60326253454717e+01
0,01;0,99;0,50;0,9;1,80226387156376e+02;2,03289540222214e+02
0,05;0,99;0,50;0,9;1,31296429866239e+02;1,48098129699326e+02
0,10;0,99;0,50;0,9;1,08372206971957e+02;1,22240347131191e+02
0,20;0,99;0,50;0,9;8,35547117080111e+01;9,42470145161556e+01
0,49;0,99;0,50;0,9;4,60328958204544e+01;5,19236188112547e+01
0,01;0,51;0,70;0,9;1,73849727775421e+02;1,86752185339806e+02
0,05;0,51;0,70;0,9;8,76813926096891e+01;9,41887680413842e+01
0,10;0,51;0,70;0,9;5,36801481801075e+01;5,76640821373607e+01
0,20;0,51;0,70;0,9;2,36179664553978e+01;2,53708010088201e+01
0,49;0,51;0,70;0,9;NA;NA
0,01;0,80;0,70;0,9;3,15556160999478e+02;3,38975524541626e+02
0,05;0,80;0,70;0,9;1,94394034515682e+02;2,08821211441424e+02
0,10;0,80;0,70;0,9;1,41737729421109e+02;1,52256958082142e+02
0,20;0,80;0,70;0,9;8,90857308384359e+01;9,56973308474962e+01
0,49;0,80;0,70;0,9;2,36179664553978e+01;2,53708010088201e+01
0,01;0,90;0,70;0,9;4,09282934403720e+02;4,39658338268559e+02
0,05;0,90;0,70;0,9;2,69267355723114e+02;2,89251342325495e+02
0,10;0,90;0,70;0,9;2,06560345025390e+02;2,21890458683190e+02
0,20;0,90;0,70;0,9;1,41737729421109e+02;1,52256958082142e+02
0,49;0,90;0,70;0,9;5,36801481801075e+01;5,76640821373607e+01
0,01;0,99;0,70;0,9;6,80650386786254e+02;7,31165638343255e+02
0,05;0,99;0,70;0,9;4,95859497502824e+02;5,32660280606103e+02
0,10;0,99;0,70;0,9;4,09282934403720e+02;4,39658338268559e+02
0,20;0,99;0,70;0,9;3,15556160999478e+02;3,38975524541626e+02
0,49;0,99;0,70;0,9;1,73849727775421e+02;1,86752185339806e+02
0,01;0,51;0,90;0,9;1,99233994937526e+03;2,08861243384659e+03
0,05;0,51;0,90;0,9;1,00483988987780e+03;1,05339507380852e+03
0,10;0,51;0,90;0,9;6,15181312482517e+02;6,44907681906367e+02
0,20;0,51;0,90;0,9;2,70664893722925e+02;2,83743777066123e+02
0,49;0,51;0,90;0,9;NA;NA
0,01;0,80;0,90;0,9;3,61631366281401e+03;3,79105869116918e+03
0,05;0,80;0,90;0,9;2,22778031258201e+03;2,33542958479373e+03
0,10;0,80;0,90;0,9;1,62433237182980e+03;1,70282224655841e+03
0,20;0,80;0,90;0,9;1,02093378425066e+03;1,07026664630632e+03
0,49;0,80;0,90;0,9;2,70664893722925e+02;2,83743777066123e+02
0,01;0,90;0,90;0,9;4,69043438401834e+03;4,91708233711529e+03
0,05;0,90;0,90;0,9;3,08583807829031e+03;3,23494982930769e+03
